timestamp,battery_voltage,engine_speed,vehicle_speed,coolant_temp,throttle_position,brake_pressure,fuel_level,oil_pressure,gear_position,ambient_temp,ecu_state,ecu_fault_latched
0,12.5,0,0,25,0,0,60,1.2,0,25,0,0
0,12.5,0,0,25,0,0,60,1.2,0,25,1,0
0,12.5,0,0,25,0,0,60,1.2,0,25,1,0
0,12.5,0,0,25,0,0,60,1.2,0,25,1,0
0,12.5,0,0,25,0,0,60,1.2,0,25,1,0
0,16,0,0,25,0,0,60,1.2,0,25,1,0
0,16,0,0,25,0,0,60,1.2,0,25,1,0
10,16,0,0,25,0,0,60,1.2,0,25,1,0
20,16,0,0,25,0,0,60,1.2,0,25,1,0
30,16,0,0,25,0,0,60,1.2,0,25,1,0
40,16,0,0,25,0,0,60,1.2,0,25,1,0
50,16,0,0,25,0,0,60,1.2,0,25,1,0
60,16,0,0,25,0,0,60,1.2,0,25,1,0
70,16,0,0,25,0,0,60,1.2,0,25,1,0
80,16,0,0,25,0,0,60,1.2,0,25,2,0
90,16,0,0,25,0,0,60,1.2,0,25,2,0
100,16,0,0,25,0,0,60,1.2,0,25,2,0
110,16,0,0,25,0,0,60,1.2,0,25,2,0
120,16,0,0,25,0,0,60,1.2,0,25,2,0
130,16,0,0,25,0,0,60,1.2,0,25,2,0
140,16,0,0,25,0,0,60,1.2,0,25,3,0
150,16,0,0,25,0,0,60,1.2,0,25,3,0
160,16,0,0,25,0,0,60,1.2,0,25,3,0
170,16,0,0,25,0,0,60,1.2,0,25,3,0
180,16,0,0,25,0,0,60,1.2,0,25,3,0
190,16,0,0,25,0,0,60,1.2,0,25,3,0
200,16,0,0,25,0,0,60,1.2,0,25,3,0
200,12.5,0,0,25,30,0,60,1.2,0,25,0,0
210,12.5,0,0,25,30,0,60,1.2,0,25,1,0
220,12.5,0,0,25,30,0,60,1.2,0,25,1,0
230,12.5,0,0,25,30,0,60,1.2,0,25,1,0
240,12.5,0,0,25,30,0,60,1.2,0,25,1,0
250,12.5,0,0,25,30,0,60,1.2,0,25,1,0
260,12.5,0,0,25,30,0,60,1.2,0,25,1,0
270,12.5,0,0,25,30,0,60,1.2,0,25,1,0
280,12.5,0,0,25,30,0,60,1.2,0,25,2,0
290,12.5,0,0,25,30,0,60,1.2,0,25,2,0
300,12.5,0,0,25,30,0,60,1.2,0,25,2,0
310,12.5,0,0,25,30,0,60,1.2,0,25,2,0
320,12.5,0,0,25,30,0,60,1.2,0,25,2,0
330,12.5,0,0,25,30,0,60,1.2,0,25,2,0
340,12.5,0,0,25,30,0,60,1.2,0,25,3,0
350,12.5,0,0,25,30,0,60,1.2,0,25,3,0
360,12.5,0,0,25,30,0,60,1.2,0,25,3,0
370,12.5,0,0,25,30,0,60,1.2,0,25,3,0
