timestamp,battery_voltage,engine_speed,vehicle_speed,coolant_temp,throttle_position,brake_pressure,fuel_level,oil_pressure,gear_position,ambient_temp
10,12.5,0,0,25,20,0,60,1.2,0,25
20,12.5,0,0,25,20,0,60,1.2,0,25
30,12.5,0,0,25,20,0,60,1.2,0,25
40,12.5,0,0,25,20,0,60,1.2,0,25
50,12.5,0,0,25,20,0,60,1.2,0,25
60,12.5,0,0,25,20,0,60,1.2,0,25
70,12.5,0,0,25,20,0,60,1.2,0,25
80,12.5,0,0,25,20,0,60,1.2,0,25
90,12.5,0,0,25,20,0,60,1.2,0,25
100,12.5,0,0,25,20,0,60,1.2,0,25
110,12.5,0,0,25,20,0,60,1.2,0,25
120,12.5,0,0,25,20,0,60,1.2,0,25
130,12.5,0,0,25,20,0,60,1.2,0,25
140,12.5,0,0,25,20,0,60,1.2,0,25
150,12.5,0,0,25,20,0,60,1.2,0,25
160,12.5,0,0,25,20,0,60,1.2,0,25
170,12.5,0,0,25,20,0,60,1.2,0,25
180,12.5,0,0,25,20,0,60,1.2,0,25
190,12.5,0,0,25,20,0,60,1.2,0,25
200,12.5,0,0,25,20,0,60,1.2,0,25
210,12.5,0,0,25,20,0,60,1.2,0,25
220,12.5,0,0,25,20,0,60,1.2,0,25
230,12.5,0,0,25,20,0,60,1.2,0,25
240,12.5,2040,34,90,20,0,55,2.12727,3,25
250,12.5,2040,34,90,20,0,55,2.12727,3,25
260,12.5,2040,34,90,20,0,55,2.12727,3,25
270,12.5,2040,34,90,20,0,55,2.12727,3,25
280,12.5,2040,34,90,20,0,55,2.12727,3,25
290,12.5,2040,34,90,20,0,55,2.12727,3,25
300,12.5,2040,34,90,20,0,55,2.12727,3,25
310,12.5,0,0,25,10,0,60,1.2,0,25
320,12.5,0,0,25,10,0,60,1.2,0,25
330,12.5,0,0,25,10,0,60,1.2,0,25
340,12.5,0,0,25,10,0,60,1.2,0,25
350,12.5,0,0,25,10,0,60,1.2,0,25
360,12.5,0,0,25,10,0,60,1.2,0,25
370,12.5,0,0,25,10,0,60,1.2,0,25
380,12.5,0,0,25,10,0,60,1.2,0,25
390,12.5,0,0,25,10,0,60,1.2,0,25
400,12.5,0,0,25,10,0,60,1.2,0,25
410,12.5,0,0,25,10,0,60,1.2,0,25
420,12.5,0,0,25,10,0,60,1.2,0,25
430,12.5,0,0,25,10,0,60,1.2,0,25
440,12.5,0,0,25,10,0,60,1.2,0,25
450,12.5,0,0,25,10,0,60,1.2,0,25
460,12.5,0,0,25,10,0,60,1.2,0,25
470,12.5,0,0,25,10,0,60,1.2,0,25
480,12.5,0,0,25,10,0,60,1.2,0,25
490,12.5,0,0,25,10,0,60,1.2,0,25
500,12.5,0,0,25,10,0,60,1.2,0,25
510,12.5,0,0,25,10,0,60,1.2,0,25
520,12.5,0,0,25,10,0,60,1.2,0,25
530,12.5,0,0,25,10,0,60,1.2,0,25
540,12.5,1420,23.6667,90,10,0,55,1.84545,3,25
550,12.5,1420,23.6667,90,10,0,55,1.84545,3,25
560,12.5,1420,23.6667,90,10,0,55,1.84545,3,25
570,12.5,1420,23.6667,90,10,0,55,1.84545,3,25
580,12.5,1420,23.6667,90,10,0,55,1.84545,3,25
590,12.5,1420,23.6667,90,10,0,55,1.84545,3,25
600,12.5,1420,23.6667,90,10,0,55,1.84545,3,25
610,12.5,0,0,25,30,0,60,1.2,0,25
620,12.5,0,0,25,30,0,60,1.2,0,25
